,,,,,,,MEN DENIM SIZE CURVE,28,29,30,31,32,33,34,36,38,40,42,,
,,,,,,,WOMEN DENIM SIZE CURVE,24,25,26,27,28,29,30,31,32,33,34,,
,,,,,,,TOPS SIZE CURVE,XS,S,M,L,XL,2XL,3XL,4XL,,,,,
REF,Supplier Code,Gender,COLOUR,Description,Wholesale Price,Recommended Retail Price,Category,,,,,,,,,,,,Total Units,Total Value
TR52,109479 2701,MEN,TRAVERTINE,True Religion Script Cinched Sweatshirt Travertine,"R1,130.00","R2,599.00",Hoodies And Sweaters,,4,4,4,4,3,2,,,,,21,"R23,730.00"
TR53,109698 1001,MEN,BLACK,True Religion Big T Slub Short Jet Black,R999.57,"R2,299.00",Shorts,,2,2,2,2,2,1,,,,,11,"R10,995.22"
TR54,109698 1501,MEN,GREY,True Religion Big T Slub Short Heather Grey,R999.57,"R2,299.00",Shorts,,4,4,4,4,3,2,,,,,21,"R20,990.87"
TR55,109698 4610,MEN,BLUE,True Religion Big T Slub Short Medieval Blue,R999.57,"R2,299.00",Shorts,,4,4,4,4,3,2,,,,,21,"R20,990.87"
TR56,109193 IYYD,MEN,DARK WASH,True Religion Rocco Super T Nf 32 In Jackknife Dark Wash,"R2,390.87","R5,499.00",Jeans,3,4,2,4,3,4,2,2,1,3,3,31,"R74,116.96"
TR57,109194 2SB,MEN,BLACK,True Religion Ricky Super T Flap 34In 2Sb Black Rinse,"R2,390.87","R5,499.00",Jeans,3,4,4,4,4,4,4,4,3,3,3,40,"R95,634.78"
TR58,109195 IYCR,MEN,LIGHT WASH,True Religion Bobby Supert Flap 32 In Lt Clearwater Wash With Rips,"R2,390.87","R5,499.00",Jeans,3,2,3,0,3,2,3,3,3,2,2,26,"R62,162.61"
TR59,109216 IRWL,MEN,LIGHT WASH,True Religion Dtrsd Jqrd Ricky Rope Flp 34In City Lights Light Wash,"R2,521.30","R5,799.00",Jeans,2,5,4,4,4,4,4,4,3,3,3,40,"R100,852.17"
TR60,109196 2S,MEN,BLACK,True Religion Geno Super T Flap 32 In 2S Body Rinse,"R2,390.87","R5,499.00",Jeans,3,4,5,5,5,5,5,4,3,3,3,45,"R107,589.13"
TR61,109197 IYCL,MEN,LIGHT WASH,True Religion Matt Super T No Flap 32In Light Clearwater Wash,"R2,390.87","R5,499.00",Jeans,3,4,5,5,5,5,5,4,3,3,3,45,"R107,589.13"
TR62,109953 IXZM,MEN,MEDIUM WASH,True Religion Mikey Super T No Flap 32 In Headspace Medium Wash,"R2,390.87","R5,499.00",Jeans,3,4,5,5,5,5,5,4,3,3,3,45,"R107,589.13"
TR63,109199 IYGB,MEN,BLACK,True Religion Ricky Super T Nf 34In Resistance Black Wash,"R2,390.87","R5,499.00",Jeans,3,4,5,5,5,5,5,4,3,3,3,45,"R107,589.13"
TR64,109201 IZQD,MEN,DARK WASH,True Religion Rocco Big T No Flp Ovrsized Hs Street Lights Dark Wash,"R1,738.70","R3,999.00",Jeans,4,5,6,6,6,6,6,6,3,3,3,54,"R93,889.57"
TR65,109311 IRTB,MEN,BLACK,True Religion Ricky Big T Nf Ovrszed Hs 34In Chantey Black Wash,"R1,738.70","R3,999.00",Jeans,3,4,5,5,5,5,5,4,3,3,3,45,"R78,241.30"
TR66,109202 JEBL,MEN,LIGHT WASH,True Religion Billy Sn Flap 34In Beach Trail Light Wash,"R1,390.87","R3,199.00",Jeans,,4,5,5,5,5,5,4,3,3,3,42,"R58,416.52"
TR67,109204 IXZM,MEN,MEDIUM WASH,True Religion Ricky Sn Flap 34In Headspace Medium Wash,"R1,390.87","R3,199.00",Jeans,3,4,5,5,5,5,5,4,3,3,3,45,"R62,589.13"
TR68,109206 ISRD,MEN,DARK WASH,True Religion Vinny Sn Flap 34In Nightcap Dark Wash,"R1,390.87","R3,199.00",Jeans,3,3,4,4,4,4,4,4,3,3,3,39,"R54,243.91"
TR69,109211 IYBM,MEN,MEDIUM WASH,True Religion True Bobby Super T Flap Short Beached Out Medium Wash,"R1,738.70","R3,999.00",Shorts,3,4,5,5,5,5,3,3,3,2,,38,"R66,070.43"
TR70,109952 IZQD,MEN,DARK WASH,True Religion Ricky Bigt Nf Ovrsizd Hs Short Dark Wash,"R1,390.87","R3,199.00",Shorts,3,4,5,5,5,5,5,5,2,1,,40,"R55,634.78"
TR71,109466 IRTB,MEN,BLACK,True Religion Ricky Bigt Nf Ovrszd Hs Short Chantey Black Wash,"R1,390.87","R3,199.00",Shorts,3,4,5,5,5,5,5,5,2,1,,40,"R55,634.78"
